Product Name,Total number of comments (backer only),Number of Negative Comment,Number of Neutral Comment,Number of Positive Comment,% of Negative Comment,% of Neutral Comment,% of Positive Comment,Overall Score,Number of creator comment
heroes-of-the-nations,25,4,3,18,0.16,0.12,0.72,0.321086048,0
the-humidors-sophomore-album-funk-soul-from-the-ba,2,0,1,1,0,0.5,0.5,0.28535,0
digital-numbered-limited-edition-playing-cards,0,0,0,0,0,0,0,0,0
adopt-a-galaxy-your-very-own-pocket-universe,1,0,0,1,0,0,1,0.4939,0
sento-towel-an-incredible-upgrade-for-an-everyday,17,8,4,5,0.47,0.24,0.29,-0.062807672,0
the-california-acoustic-coastline-tour,0,0,0,0,0,0,0,0,0
the-anatomy-of-frank-south-america,4,0,0,4,0,0,1,0.65705,0
milky-way-you-are-here-pin,0,0,0,0,0,0,0,0,0
renegade-line-the-new-competitive-third-person-sho,39,6,14,19,0.15,0.36,0.49,0.194760684,0
gaming-paper-erasable,8,2,3,3,0.25,0.38,0.38,0.133775,0
