Product Name,Total number of comments (backer only),Number of Negative Comment,Number of Neutral Comment,Number of Positive Comment,% of Negative Comment,% of Neutral Comment,% of Positive Comment,Overall Score,Number of creator comment
saloon-tycoon-the-ranch-expansion,50,9,12,29,0.18,0.24,0.58,0.290682,0
something-in-the-dark,0,0,0,0,0,0,0,0,0
project-fierce,2,0,1,1,0,0.5,0.5,0.20095,0
dark-dealings-dwarven-delve-bundles-expansions-and,50,7,7,36,0.14,0.14,0.72,0.333582,0
flow-of-history-deluxifiedtm-and-updated,50,13,14,23,0.26,0.28,0.46,0.129984,0
worlds-smallest-water-resistant-magnetic-camera-29,10,3,4,3,0.3,0.4,0.3,0.09277,0
neva-the-easiest-and-most-affordable-3d-printer-ev,50,14,7,29,0.28,0.14,0.58,0.14652,0
relaunch-translation-the-60-second-language-game,2,0,0,2,0,0,1,0.5374,0
childrens-art-studio,1,0,0,1,0,0,1,0.9659,0
the-rpg-character-compendium,37,3,12,22,0.08,0.32,0.59,0.324102703,0
help-me-lampwork-to-create-these-hand-crafted-beau,4,0,0,4,0,0,1,0.4795,2
summer-of-body-love-saturday-august-19th-2017,2,0,0,2,0,0,1,0.7958,0
make-100-single-line-drawings,5,0,1,4,0,0.2,0.8,0.63672,0
performance-nut-butter-on-the-go-keto-paleo-and-ve,16,2,2,12,0.12,0.12,0.75,0.4825625,0
paperplane-send-augmented-reality-messages-to-your,5,0,3,2,0,0.6,0.4,0.28654,0
smart-belt-kevlar-core-indestructible-and-micro-ad,50,14,3,33,0.28,0.06,0.66,0.303206,0
where-the-truck-food-truck-finder-andriod-app,2,0,0,2,0,0,1,0.93215,0
levitat-the-revolutionary-aerial-mat,50,8,4,38,0.16,0.08,0.76,0.441596,0
the-pliqo-bag,50,5,1,44,0.1,0.02,0.88,0.600488,0
liquidnano-windshield-treatment,50,17,19,14,0.34,0.38,0.28,-0.031988,0
juggler-playing-cards,50,8,17,25,0.16,0.34,0.5,0.226024,0
eclip-helping-to-prevent-babies-from-being-left-in,18,2,3,13,0.11,0.17,0.72,0.392238889,0
the-perfect-wallet-for-the-modern-man-carbon-class,50,11,12,27,0.22,0.24,0.54,0.203768,0
rozebudstm-smart-convertible-fashion-earphones,50,17,0,33,0.34,0,0.66,0.285638,0
diceborn-heroes-a-co-op-dice-adventure-game,50,6,7,37,0.12,0.14,0.74,0.317168,0
mccain-woodworks,2,0,1,1,0,0.5,0.5,0.1591,1
zenlet-2series-most-elegant-aluminum-quick-access,50,17,10,23,0.34,0.2,0.46,0.066488,0
dreamelia-a-film-by-katie-wenger-and-lucy-gillespi,0,0,0,0,0,0,0,0,0
furlong,3,0,1,2,0,0.33,0.67,0.496966667,0
birdsong,1,0,0,1,0,0,1,0.8519,0
the-six-swords-1-reinventing-the-spaghetti-western,36,1,4,31,0.03,0.11,0.86,0.541727778,0
deathface-rocket-crew,17,0,2,15,0,0.12,0.88,0.656494118,0
the-thread-a-10-part-documentary-web-series,9,0,2,7,0,0.22,0.78,0.465655556,7
buddha-doodles-animated-short-film,17,0,1,16,0,0.06,0.94,0.816729412,0
alternative-facts-a-broadside-portfolio,6,0,0,6,0,0,1,0.853333333,0
c2-minimalist-alarm-clock-with-wireless-bed-shaker,50,13,9,28,0.26,0.18,0.56,0.145016,0
trouble-for-hire-a-game-of-hi-octane-road-adventur,14,0,2,12,0,0.14,0.86,0.584128571,0
tall-pines-a-surreal-murder-mystery-roleplaying-ga,36,5,2,29,0.14,0.06,0.81,0.472755556,14
spooky-things,40,6,10,24,0.15,0.25,0.6,0.3802575,10
3d-4b,50,2,14,34,0.04,0.28,0.68,0.400236,0
arcana-dungeon-tiles,17,1,2,14,0.06,0.12,0.82,0.561258824,0
dimgaard-vol-xviii-5e-dnd-adventures,8,0,1,7,0,0.12,0.88,0.58245,2
real-album-debut-de-felisa,10,1,6,3,0.1,0.6,0.3,0.11334,0
volta-the-worlds-strongest-cross-device-magnetic-c,50,13,12,25,0.26,0.24,0.5,0.139986,0
zallex30-is-back-to-solve-problems,50,8,15,27,0.16,0.3,0.54,0.198692,0
this-will-ruin-everything-10-years-of-recoat,3,0,1,2,0,0.33,0.67,0.528133333,0
a-galaxy-of-action-figure-savings-star-wars-newspa,12,1,0,11,0.08,0,0.92,0.504683333,5
karry-draw-string-bag-with-unique-quick-access-cel,3,0,1,2,0,0.33,0.67,0.267066667,0
chinatown-rising,6,0,1,5,0,0.17,0.83,0.630233333,0
vulcan-titanium-compact-cutlery-18-in-1-multi-tool,46,10,8,28,0.22,0.17,0.61,0.248895652,0
oscillation-transia-film-festival,1,0,0,1,0,0,1,0.9272,0
fidget-in-style-with-infinity-cube-luxury-edc-fidg,50,5,12,33,0.1,0.24,0.66,0.386032,0
dan-cases-a4-sfx-v2-an-ultra-compact-sff-case,50,4,18,28,0.08,0.36,0.56,0.289686,0
helio-incredible-brightness-ultra-lightness,50,8,12,30,0.16,0.24,0.6,0.212268,0
wokittm-20-the-universal-outdoor-carabiner-multi-t,50,7,8,35,0.14,0.16,0.7,0.394146,0
animal-eyes-limited-edition-pins,11,1,1,9,0.09,0.09,0.82,0.551245455,0
essence-descent-works-for-solo-timpani,0,0,0,0,0,0,0,0,0
inittogether-the-beautiful-struggle-uniting-us-all,4,0,1,3,0,0.25,0.75,0.7032,1
nyx-in-the-overworld-complete-edition,9,0,0,9,0,0,1,0.679488889,0
dover-quartet-documentary,4,0,0,4,0,0,1,0.91585,0
menage-a-3-volume-8-and-more,50,6,5,39,0.12,0.1,0.78,0.460926,0
mark-the-best-cardholder-wallet-for-the-minimalist,50,23,3,24,0.46,0.06,0.48,0.067084,0
adventure-top-quilt-the-sleeping-un-bag-and-hammoc,50,2,9,39,0.04,0.18,0.78,0.50916,0
firefly-glowing-zipper-pull-key-chain-and-more,50,10,25,15,0.2,0.5,0.3,0.102456,0
bracelet-obsession-cuff-bracelet-designs-for-every,0,0,0,0,0,0,0,0,0
watches-built-from-spaceborne-rockets,50,11,7,32,0.22,0.14,0.64,0.362874,0
storyclock-notebook-a-notebook-designed-for-screen,41,7,9,25,0.17,0.22,0.61,0.270790244,9
worlds-and-creatures-the-art-of-anthony-christou,15,0,2,13,0,0.13,0.87,0.586393333,5
the-titus-lunter-amonkhet-art-extravaganza,10,0,1,9,0,0.1,0.9,0.74343,0
cthulhu-mythos-books-from-dark-regions-press,50,10,11,29,0.2,0.22,0.58,0.216204,0
the-blue-door,4,0,0,4,0,0,1,0.684575,0
puppy-and-kitten-enamel-lapel-pins,5,0,0,5,0,0,1,0.359,0
sticky-sounds-insanely-rugged-and-mounts-to-anythi,50,9,14,27,0.18,0.28,0.54,0.203352,0
yer-a-wizard-harry-podcast-season-4,6,0,2,4,0,0.33,0.67,0.4063,0
x-flex-mini-and-x-pocket-rfid-slim-wallet,50,8,6,36,0.16,0.12,0.72,0.376152,0
sailor-cat-hard-enamel-pins,16,0,3,13,0,0.19,0.81,0.48978125,10
ram-and-raven-enamel-pin,3,0,0,3,0,0,1,0.924666667,0
cthulhu-dark,50,2,7,41,0.04,0.14,0.82,0.582064,0
sailor-moon-bubblegum-enamel-pin,36,2,8,26,0.06,0.22,0.72,0.428302778,0
trance-jewel-aerospace-grade-oligodynamic-spheroid,50,10,9,31,0.2,0.18,0.62,0.33762,0
kizingo-toddler-spoons-cutlery-design-innovation-f,35,6,5,24,0.17,0.14,0.69,0.409165714,0
gentle-parenting-memes-book-vol-1-be-the-change,3,0,0,3,0,0,1,0.866266667,0
kuroi-hana-japanese-knife-collection-edge-of-belgr,50,8,7,35,0.16,0.14,0.7,0.395964,0
the-worlds-smallest-garden-0,50,10,3,37,0.2,0.06,0.74,0.44646,0
know-your-place-essays-on-the-working-class,18,3,4,11,0.17,0.22,0.61,0.310077778,0
blasphemous-dark-and-brutal-2d-non-linear-platform,50,13,17,20,0.26,0.34,0.4,0.124754,0
hand-of-fate-ordeals,45,8,9,28,0.18,0.2,0.62,0.314353333,5
astropolis-ii-the-galactic-melting-pot,50,5,7,38,0.1,0.14,0.76,0.454634,0
invader-zims-mini-moose-hard-enamel-pin-series,1,0,0,1,0,0,1,0.8012,0
termination-shock,11,2,4,5,0.18,0.36,0.45,0.159181818,4
magical-planet,0,0,0,0,0,0,0,0,0
maximum-mayhem-dungeons-monsters-of-mayhem-1,21,0,9,12,0,0.43,0.57,0.404704762,29
the-city-clock-paris-design,38,4,7,27,0.11,0.18,0.71,0.380186842,0
pcbgrip-vise-panavise-model-201-base-compatible,39,2,6,31,0.05,0.15,0.79,0.5325,0
dacberry-pro-professional-soundcard-for-raspberry,30,3,10,17,0.1,0.33,0.57,0.303233333,0
squawk-squad-saving-new-zealands-native-birds,34,5,2,27,0.15,0.06,0.79,0.587155882,0
biki-first-bionic-wireless-underwater-fish-drone,50,8,20,22,0.16,0.4,0.44,0.169918,0
jelly-the-smallest-4g-smartphone,50,10,14,26,0.2,0.28,0.52,0.196052,0
eduexo-the-first-robotic-exoskeleton-kit-for-stem,10,0,2,8,0,0.2,0.8,0.49996,5
uwear-powerful-and-affordable-smart-watch-for-hike,50,17,11,22,0.34,0.22,0.44,0.042928,0
aryzon-3d-augmented-reality-for-every-smartphone,50,11,9,30,0.22,0.18,0.6,0.279078,0
shapeheart-armband-heart-rate-tracking-and-easy-ph,50,12,9,29,0.24,0.18,0.58,0.222586,0
dfrobot-boson-a-powerful-building-block-for-stem,50,7,12,31,0.14,0.24,0.62,0.367746,0
imoov-the-ultimate-ultraportable-device-stand,50,8,9,33,0.16,0.18,0.66,0.345574,0
dreamscreen-hd-and-4k-led-backlighting-for-any-hdm,50,16,4,30,0.32,0.08,0.6,0.179968,0
seed-turntable-quality-power-and-design-in-one-set,50,16,10,24,0.32,0.2,0.48,0.126452,0
acpd-drum-kit-and-game-the-best-way-to-learn-to-pl,50,17,4,29,0.34,0.08,0.58,0.189942,0
cosmo-connected-the-first-connected-brake-light,50,9,19,22,0.18,0.38,0.44,0.18577,0
bladen-brinner-andra-aret,1,0,1,0,0,1,0,0,0
lexies-village-the-story-of-a-new-kind-of-family,1,0,0,1,0,0,1,0.69,0
degree-continuous-in-ear-thermometer-for-children,35,3,3,29,0.09,0.09,0.83,0.625077143,0
foldio3-take-bigger-ideas,50,15,9,26,0.3,0.18,0.52,0.111992,0
good-love-the-second-album-from-daniel-duke,7,0,0,7,0,0,1,0.666857143,0
claudia-toffano-hand-embroidered-bridal-gowns,5,0,4,1,0,0.8,0.2,0.12738,0
norsaga-odds-and-endings-expansion,50,2,16,32,0.04,0.32,0.64,0.395848,0
turing-tumble-gaming-on-a-mechanical-computer,34,2,3,29,0.06,0.09,0.85,0.544538235,16
gruff-rage-of-the-trolls,50,13,9,28,0.26,0.18,0.56,0.176702,0
antagonism-learn-it-in-180-seconds-play-it-everywh,27,2,7,18,0.07,0.26,0.67,0.389551852,0
the-trust-sketchbook-a-reflective-space-to-explore,3,0,1,2,0,0.33,0.67,0.5165,0
emma-goes-to-school,1,0,0,1,0,0,1,0.9184,0
the-marcel-perez-collection-volume-2,3,0,0,3,0,0,1,0.884833333,0
polyamor-accessories-to-put-feeling-into-bathrooms,10,1,3,6,0.1,0.3,0.6,0.32754,0
goduo-speakers-worlds-coolest-magnetic-wireless-sp,50,7,7,36,0.14,0.14,0.72,0.373416,0
sehen-one-second-to-react-and-keep-riding-the-bike,50,4,7,39,0.08,0.14,0.78,0.4562,0
zombicide-green-horde,50,17,4,29,0.34,0.08,0.58,0.167718,0
free-roll-machined-gamers-dice,50,14,6,30,0.28,0.12,0.6,0.230872,0
underneath-it-all-nude-portraits-exploring-mental,0,0,0,0,0,0,0,0,0
digitsole-smartshoe-the-worlds-first-intelligent-s,50,5,19,26,0.1,0.38,0.52,0.215406,0
magpie-the-smartest-truly-global-gps-tracker-aroun,50,11,15,24,0.22,0.3,0.48,0.10237,0
fall-in-new-england-kenneth-fuchs-composer,0,0,0,0,0,0,0,0,0
the-scrooge-mystery-a-feature-duckumentary,50,3,13,34,0.06,0.26,0.68,0.400096,0
smartkase-worlds-1st-mobile-case-with-a-built-in-t,18,3,1,14,0.17,0.06,0.78,0.421794444,0
kat-the-legend-of-gnawbonia,49,6,3,40,0.12,0.06,0.82,0.59225102,0
creature-studio-atlanta,0,0,0,0,0,0,0,0,0
oh-beehive,2,0,0,2,0,0,1,0.92015,0
pigaone-experience-the-best-balance-activation-foo,37,4,14,19,0.11,0.38,0.51,0.269608108,13
savi-sleek-stylish-bracelet-that-holds-your-hair-t,50,3,7,40,0.06,0.14,0.8,0.595726,0
first-course-training-for-professional-kitchen-job,9,0,2,7,0,0.22,0.78,0.667811111,0
camila-meza-and-the-nectar-orchestra-recording-an,0,0,0,0,0,0,0,0,0
art-by-dada,0,0,0,0,0,0,0,0,0
the-many-adventures-of-jo-jo-and-ru-bear-a-childre,0,0,0,0,0,0,0,0,0
flow-sleek-minimalistic-fountain-pen,50,6,7,37,0.12,0.14,0.74,0.410324,0
widow-return-to-spider-island,12,3,5,4,0.25,0.42,0.33,-0.004683333,2
visage-a-short-film,1,0,0,1,0,0,1,0.6588,0
help-vaccine-go-to-the-fringe,0,0,0,0,0,0,0,0,0
softasvulvet-illustration-prints-and-store-launch,2,0,0,2,0,0,1,0.5503,0
wasserturm-pop-up-bar,0,0,0,0,0,0,0,0,0
spin-dice,50,8,8,34,0.16,0.16,0.68,0.387302,0
endless-inspiration-for-artists-createures-drawing,42,0,5,37,0,0.12,0.88,0.630159524,0
ash-of-gods,50,10,8,32,0.2,0.16,0.64,0.25889,0
tony-goffredi-solo-ep-life-is,1,0,1,0,0,1,0,0,0
nostalgia-la-flotta-nomade-monad-system,50,2,25,23,0.04,0.5,0.46,0.213882,0
basic-man-life-changing-basics-for-under-20,50,4,13,33,0.08,0.26,0.66,0.365606,0
the-undress-version-3,50,9,12,29,0.18,0.24,0.58,0.310716,0
aegis-super-combining-robot-tactics,38,3,9,26,0.08,0.24,0.68,0.428063158,12
20000-and-1-stone,1,0,1,0,0,1,0,0,0
swim-magazine-issue-01-human-nature,4,0,1,3,0,0.25,0.75,0.47215,0
sketchbook-monochrome-rainbow-vol-25,6,0,0,6,0,0,1,0.817016667,0
the-animated-brain-mental-health-in-the-animation,1,0,0,1,0,0,1,0.8118,0
iunu,50,5,14,31,0.1,0.28,0.62,0.375168,0
ahead-turn-any-helmet-into-a-smart-helmet,50,13,11,26,0.26,0.22,0.52,0.141624,0
mystic-mondays-tarot-cards,35,1,2,32,0.03,0.06,0.91,0.72046,12
meet-waul-the-worlds-1st-ergonomic-pet-carrier,43,12,1,30,0.28,0.02,0.7,0.297672093,7
fruit-and-sea-turtles-enamel-pin-collection,1,0,0,1,0,0,1,0.9062,0
bobby-bizz-the-best-business-briefcase-and-backpac,50,18,2,30,0.36,0.04,0.6,0.23227,0
sausage-dog-enamel-pin,11,0,2,9,0,0.18,0.82,0.593990909,0
a-unique-swiss-made-automatic-watch-without-luxury,50,3,5,42,0.06,0.1,0.84,0.567138,0
donald-j-trump-a-book-of-tweets,11,0,3,8,0,0.27,0.73,0.532127273,6
amazing-dice-cases-for-daring-adventurers,50,9,9,32,0.18,0.18,0.64,0.291748,0
last-night-in-sweden-mustafa-panshiri-and-jens-gan,17,1,14,2,0.06,0.82,0.12,0.038311765,0
hot-and-bothered,2,0,0,2,0,0,1,0.9402,0
thisisprogress-a-feature-length-documentary,37,0,3,34,0,0.08,0.92,0.607943243,0
the-people-of-yellowstone-photo-exhibit,0,0,0,0,0,0,0,0,0
kiddo-stay-connected-to-your-childs-wellbeing,31,2,12,17,0.06,0.39,0.55,0.329116129,0
allwithbooks-children-books-inspired-by-the-mayan,50,3,4,43,0.06,0.08,0.86,0.640402,0
little-sunny-makes-kimchi-with-halmi,7,0,1,6,0,0.14,0.86,0.521542857,0
fandompins-debut-enamel-pin-do-you-trust-me,2,0,1,1,0,0.5,0.5,0.28595,0
moth-fairy-animals-enamel-pin-set-rabbit-and-cat,0,0,0,0,0,0,0,0,0
caged,23,0,2,21,0,0.09,0.91,0.677743478,0
wopilo-a-revolutionary-pillow-that-will-change-you,50,3,1,46,0.06,0.02,0.92,0.684172,0
beastgrip-dof-adapter-mk2-and-pro-series-133x-anam,25,2,5,18,0.08,0.2,0.72,0.384628,25
sew-punk-hats,0,0,0,0,0,0,0,0,0
vague-pains,0,0,0,0,0,0,0,0,0
saola-shoes-sustainable-kicks-that-kick-back,9,0,2,7,0,0.22,0.78,0.431122222,0
chez-nous-communal-dinners-the-cookbook,1,0,0,1,0,0,1,0.4003,0
turbocats-enamel-pins,0,0,0,0,0,0,0,0,0
minimal-watch-prints-and-keyrings-by-eleven-eleven,3,0,0,3,0,0,1,0.4699,0
underverse-ar-rpg,4,1,1,2,0.25,0.25,0.5,0.27395,0
bean-3d-printer-the-ultimate-consumer-sla-3d-print,50,8,11,31,0.16,0.22,0.62,0.292172,0
bolt-drones-introducing-a-whole-new-flight-experie,50,11,18,21,0.22,0.36,0.42,0.129586,0
go-glospex,50,14,12,24,0.28,0.24,0.48,0.14603,0
grime-scene,0,0,0,0,0,0,0,0,0
artisanal-hats-made-in-italy-finished-by-hand-in-p,2,0,0,2,0,0,1,0.61595,0
gay-designation,0,0,0,0,0,0,0,0,0
the-clip-pen-by-schon-dsgn-write-with-distinction,50,3,9,38,0.06,0.18,0.76,0.524076,0
knife-river-feature-documentary,3,0,0,3,0,0,1,0.724833333,0
science-enamel-pins,3,0,1,2,0,0.33,0.67,0.3724,3
eating-up-easter-finishing-funds,3,0,0,3,0,0,1,0.803766667,0
not-just-for-mountains-merino-wool-daily-basics,8,1,0,7,0.12,0,0.88,0.5677,0
monster-taxidermy-for-the-adventurous-home,6,1,0,5,0.17,0,0.83,0.534633333,0
6-gold-blade-limited-print-edition,0,0,0,0,0,0,0,0,0
cats-of-science,11,0,0,11,0,0,1,0.671745455,0
creatures-and-creepies-the-monster-art-of-charamat,21,0,1,20,0,0.05,0.95,0.606804762,9
otto-diy-build-your-own-robot,50,18,12,20,0.36,0.24,0.4,0.047764,0
much-ado-about-nothing-as-told-by-dogberry-and-ver,2,0,0,2,0,0,1,0.88245,0
torg-eternity,50,9,12,29,0.18,0.24,0.58,0.204168,0
minerva,50,12,17,21,0.24,0.34,0.42,0.077022,0
ghosts-of-gaia-two-reinforcements-28mm-scifi-femal,50,6,14,30,0.12,0.28,0.6,0.291586,0
the-underground-story-awaken-your-calling,1,0,1,0,0,1,0,0,0
21-draw-university,50,7,8,35,0.14,0.16,0.7,0.426412,0
supply-and-denim-book-v1,1,0,0,1,0,0,1,0.3182,0
adventure-kit-oath-of-the-frozen-king,50,6,10,34,0.12,0.2,0.68,0.433778,0
western-the-roleplaying-game,50,6,10,34,0.12,0.2,0.68,0.398368,0
ariella-short-film,5,1,1,3,0.2,0.2,0.6,0.2054,0
love-pittsburgh,1,0,0,1,0,0,1,0.7872,1
galaxy-bat-plush-purple-edition,50,4,10,36,0.08,0.2,0.72,0.471082,0
the-christmas-mummy-and-other-carols,1,0,1,0,0,1,0,0,0
drive-east-the-artist-hub,0,0,0,0,0,0,0,0,0
escape-the-dark-castle,50,12,4,34,0.24,0.08,0.68,0.278934,0
corgi-heart-pin,2,0,0,2,0,0,1,0.7566,0
minimalist-sneakers-made-with-the-finest-materials,50,6,14,30,0.12,0.28,0.6,0.3455,0
help-me-become-an-illustration-youtuber,9,0,3,6,0,0.33,0.67,0.417233333,0
grimm-fairy-tales-coloring-book-boxed-set,49,9,11,29,0.18,0.22,0.59,0.291071429,1
surfing-worldwide-showing-you-when-and-where-to-su,10,3,3,4,0.3,0.3,0.4,0.00674,0
iver-denmark,8,0,4,4,0,0.5,0.5,0.36925,0
cgr-feature-reviews-of-herzog-zwei-and-super-pac-m,12,1,3,8,0.08,0.25,0.67,0.234983333,0
the-advice-tent-a-self-help-performance,0,0,0,0,0,0,0,0,0
boost-lingerie-loungewear-for-full-busted-girls-an,0,0,0,0,0,0,0,0,0
rubirosa-the-gentlemens-sneaker,4,0,0,4,0,0,1,0.6598,0
the-oscilloscope-clock-v-gps-module-1pps-autoset-t,0,0,0,0,0,0,0,0,0
blackbelt-3d-printer,44,1,9,34,0.02,0.2,0.77,0.525738636,0
up-core-the-smallest-quadcore-x86-single-board-com,50,7,17,26,0.14,0.34,0.52,0.216318,0
emme-technology-is-not-complicated,0,0,0,0,0,0,0,0,0
el-ignorante-documental,2,0,2,0,0,1,0,0,0
zenbivy-bed-the-most-comfortable-backcountry-sleep,30,3,2,25,0.1,0.07,0.83,0.49289,20
disobedient-enamel-pin,5,0,0,5,0,0,1,0.67854,0
art-tools-pin-set-for-all-you-creative-souls-out-t,12,1,0,11,0.08,0,0.92,0.703908333,0
the-way-you-look-tonight-a-rom-com-with-a-secret-a,2,0,0,2,0,0,1,0.6989,0
magnets-a-short-film,1,0,0,1,0,0,1,0.7772,0
schoolbooks-and-sorcery-ya-anthology,6,0,4,2,0,0.67,0.33,0.283866667,0
street-masters-rise-of-the-kingdom,50,13,9,28,0.26,0.18,0.56,0.295326,0
freeda-watches-inspired-by-the-italian-dolce-vita,35,6,9,20,0.17,0.26,0.57,0.310405714,15
kickstart-my-career-futuristic-fiction-collection,8,0,6,2,0,0.75,0.25,0.106525,0
archivo-gurrola,1,0,1,0,0,1,0,0,0
the-human-incubator-a-new-musical,0,0,0,0,0,0,0,0,0
rememorex,46,5,12,29,0.11,0.26,0.63,0.266358696,0
crucible-space-station-map-posters-and-miniature,41,4,9,28,0.1,0.22,0.68,0.321878049,9
the-component-collector,50,8,6,36,0.16,0.12,0.72,0.413374,0
finders-keepers,3,0,2,1,0,0.67,0.33,0.3066,3
the-push-stars-are-making-a-brand-new-album,16,0,2,14,0,0.12,0.88,0.595575,0
knives,2,0,0,2,0,0,1,0.9052,0
beachsheetz-the-worlds-best-outdoor-accessory,50,13,9,28,0.26,0.18,0.56,0.217434,0
fifty-high-season-shane-lynam,5,0,1,4,0,0.2,0.8,0.60302,0
earstudio-worlds-first-studio-quality-bluetooth-re,50,17,9,24,0.34,0.18,0.48,0.13082,0
everyday-performance-shorts,29,2,10,17,0.07,0.34,0.59,0.30242069,0
the-2017-procedural-generation-jam,1,0,0,1,0,0,1,0.34,0
keansburg-mural-project,0,0,0,0,0,0,0,0,0
amplified-existence-original-illustration-prints,0,0,0,0,0,0,0,0,0
advanced-ability-checks-supplement,1,0,1,0,0,1,0,0,0
the-contractors-create-final-character-concept-art,1,0,0,1,0,0,1,0.9881,0
inbox-short-film,6,0,2,4,0,0.33,0.67,0.541066667,0
making-love-a-short-film-conceived-by-peter-rollin,2,0,0,2,0,0,1,0.5786,0
neutral-a-short-film-by-nathan-barnatt,40,1,3,36,0.03,0.07,0.9,0.6686525,0
colour-contrast-watercolour-book,1,0,0,1,0,0,1,0.6249,0
the-well-read-black-girl-writers-conference-and-fe,24,3,6,15,0.12,0.25,0.62,0.431329167,0
adorable-wonder-woman-chibi-sticker,11,0,3,8,0,0.27,0.73,0.534154545,0
cosplay-deviants-2018-calendar,2,0,1,1,0,0.5,0.5,0.20095,0
aweful-words-a-book-of-illustrated-words-and-defin,50,1,3,46,0.02,0.06,0.92,0.71404,0
keep-going-a-coming-of-age-novel-set-in-the-apocal,4,0,0,4,0,0,1,0.67105,0
then-now-childhood-revisited-an-art-book-for-the-a,9,0,1,8,0,0.11,0.89,0.641055556,0
la-mariposa-borracha,0,0,0,0,0,0,0,0,0
fund-a-new-t-34-book,0,0,0,0,0,0,0,0,0
storyhack-action-and-adventure-issue-1,4,1,0,3,0.25,0,0.75,0.374525,1
jewellery-for-the-journey,0,0,0,0,0,0,0,0,0
lucy-fancypants-pigeon-a-story-for-children-of-all,0,0,0,0,0,0,0,0,0
12-realms-dungeonland-0,50,7,7,36,0.14,0.14,0.72,0.303278,0
carcosa-a-lovecraftian-board-game-of-cults-and-mad,50,8,13,29,0.16,0.26,0.58,0.286946,0
elemenz-the-duelling-dice-game-of-alien-shamans,50,12,11,27,0.24,0.22,0.54,0.219048,0
mauritius-by-theresa-rebeck,0,0,0,0,0,0,0,0,0
stranded-photos-text-sound,1,0,1,0,0,1,0,0,0
exchimp,48,14,8,26,0.29,0.17,0.54,0.149689583,2
sunnybag-smartbattery,24,4,8,12,0.17,0.33,0.5,0.177870833,11
figments-long-sleeve-fashion-and-truth,3,0,2,1,0,0.67,0.33,0.272,0
dfy360-rfid-blocking-wallet-crazy-affordable-price,50,8,17,25,0.16,0.34,0.5,0.29861,0
stories-of-norse-gods-and-heroes,0,0,0,0,0,0,0,0,0
grandfather-thunder-and-the-night-horses,0,0,0,0,0,0,0,0,0
super-retro-sourcebook-volume-2-by-higher-grounds,9,1,4,4,0.11,0.44,0.44,0.163,0
madcap-screwball-cartoon-role-play-for-tabletop,34,7,7,20,0.21,0.21,0.59,0.317420588,0
tournament-of-towers-draft-pieces-build-grand-towe,42,2,2,38,0.05,0.05,0.9,0.697807143,0
kitchen-rush,50,14,9,27,0.28,0.18,0.54,0.202478,0
lending-library,3,0,1,2,0,0.33,0.67,0.356266667,0
minemikomalis-sketchbook-i,11,0,2,9,0,0.18,0.82,0.608036364,0
the-heirs-of-avalon,0,0,0,0,0,0,0,0,0
handmade-energy-bars-with-100-recyclable-packaging,13,0,1,12,0,0.08,0.92,0.740076923,0
runaway-arab,0,0,0,0,0,0,0,0,0
patrick-carroll-on-glow-in-the-dark-vinyl,1,0,1,0,0,1,0,0,0
fron-tera-bilingual-literary-magazine-revista-lite,0,0,0,0,0,0,0,0,0
willis-judd-forged-carbon-automatic-watches,43,4,8,31,0.09,0.19,0.72,0.420072093,0
101-cats-a-collection-of-illustrations-volume-1,35,2,9,24,0.06,0.26,0.69,0.454765714,0
sherlock-holmes-hexalogy,50,6,14,30,0.12,0.28,0.6,0.233744,0
fellman-watch-co,13,2,2,9,0.15,0.15,0.69,0.534530769,4
flex-eboard-rough-stuff-electric-longboard,50,8,7,35,0.16,0.14,0.7,0.279384,0
harem-wars-card-game,50,7,9,34,0.14,0.18,0.68,0.334782,0
freeplay-zero-freeplay-cm3-by-freeplaytech,50,13,10,27,0.26,0.2,0.54,0.256456,0
mixers-modular-jewelry-that-evolves-with-you,7,0,1,6,0,0.14,0.86,0.567042857,0
samsara-the-worlds-first-aluminum-smart-suitcase,50,16,4,30,0.32,0.08,0.6,0.21113,0
broken-leg-productions,1,0,0,1,0,0,1,0.6094,0
dogs-that-cant-even,3,0,0,3,0,0,1,0.788133333,0
kamarg-classic-rucksack-re-introduced,33,4,10,19,0.12,0.3,0.58,0.265839394,17
anima-obscvra-enamel-pins-sachiel-pre-order,0,0,0,0,0,0,0,0,0
sweet-n-spiky-cute-enamel-pins,3,0,1,2,0,0.33,0.67,0.4429,3
the-worlds-most-sustainable-and-comfortable-bicycl,1,0,0,1,0,0,1,0.5081,0
mia-melon-weatherproof-style-new-extended-sizing,17,0,3,14,0,0.18,0.82,0.494147059,0
a-mixed-world,0,0,0,0,0,0,0,0,0
help-fund-a-home-for-the-thornleigh-street-library,0,0,0,0,0,0,0,0,0
la-grande-machinerie-du-petit-nimporte-quoi,7,0,5,2,0,0.71,0.29,0.133042857,0
eight-bit-magazine-issue-1-and-2-reprint-for-all-8,10,0,3,7,0,0.3,0.7,0.40656,4
radiate-portable-campfire-tailgate-ready-made-in-t-1,35,5,7,23,0.14,0.2,0.66,0.382048571,0
girls-of-summer-big-diamond-dreams,11,0,1,10,0,0.09,0.91,0.777436364,0
circadia-sleep-and-work-better-using-nasa-inspired,50,9,4,37,0.18,0.08,0.74,0.373532,0
mouse-books,50,3,5,42,0.06,0.1,0.84,0.542516,0
luxury-italian-handcrafted-shoe-made-uniquely-for,50,7,14,29,0.14,0.28,0.58,0.252976,0
